Day 0, today's reward is 1176.24743650371, average damage is 0.0007037107606896136, loss 0.028073299676179886
Day 1, today's reward is 1128.5499739667841, average damage is 0.0007567277643137929, loss 0.473969429731369
Day 2, today's reward is 1155.2537434805774, average damage is 0.0007427056658849065, loss 0.7307306528091431
Day 3, today's reward is 1108.6927707932873, average damage is 0.0007600780123160074, loss 0.6226381063461304
Day 4, today's reward is 1069.5165087590265, average damage is 0.0007536037460596009, loss 0.5724747180938721
Day 5, today's reward is 1069.3613194589773, average damage is 0.0007635252662072393, loss 0.5689967274665833
Day 6, today's reward is 1042.7531942917228, average damage is 0.000757104238574209, loss 0.6464536190032959
Day 7, today's reward is 1036.306098584066, average damage is 0.0007608014494123443, loss 0.3682810962200165
Day 8, today's reward is 1039.619182757434, average damage is 0.0007581316335950885, loss 0.5191181302070618
Day 9, today's reward is 975.7635539055918, average damage is 0.0007392223586309707, loss 0.8080461621284485
Day 10, today's reward is 930.7778571267158, average damage is 0.000737044472257101, loss 1.2595726251602173
Day 11, today's reward is 954.4682359860932, average damage is 0.0007423134595306777, loss 0.6306094527244568
Day 12, today's reward is 936.8914077052746, average damage is 0.0007370311780710521, loss 0.42503032088279724
Day 13, today's reward is 944.6646861341138, average damage is 0.0007353422158855542, loss 0.121396504342556
Day 14, today's reward is 1001.2712016641018, average damage is 0.0007530392946935863, loss 0.03178711608052254
Day 15, today's reward is 1002.0930798369774, average damage is 0.0007581499831027909, loss 0.00459699472412467
Day 16, today's reward is 1506.6309517819616, average damage is 0.000356695709309493, loss 0.004256915301084518
Day 17, today's reward is 1780.510891338338, average damage is 3.862105334437836e-05, loss 0.002009403193369508
Day 18, today's reward is 1787.3951293002795, average damage is 3.912331702368779e-05, loss 0.007024509832262993
Day 19, today's reward is 1771.1556211584984, average damage is 3.7993408848084606e-05, loss 0.005936388857662678
Day 20, today's reward is 1767.2503905783037, average damage is 3.9330408435843745e-05, loss 0.019057229161262512
Day 21, today's reward is 1775.5521785957123, average damage is 4.21987688508655e-05, loss 0.032741330564022064
Day 22, today's reward is 1785.380070806761, average damage is 3.95251291255172e-05, loss 0.021147718653082848
Day 23, today's reward is 1766.146430697758, average damage is 5.3357477063234115e-05, loss 0.011267808265984058
Day 24, today's reward is 1664.929198747424, average damage is 0.00015266380556696707, loss 0.0054296827875077724
Day 25, today's reward is 1544.1644257428507, average damage is 0.0003535563025288263, loss 0.0018705703550949693
Day 26, today's reward is 1577.149148237056, average damage is 0.00028427300592818934, loss 0.0021094356197863817
Day 27, today's reward is 1756.2750028962062, average damage is 7.584631550672481e-05, loss 0.0023197385016828775
Day 28, today's reward is 1747.3282186660351, average damage is 8.320019073375929e-05, loss 0.002180195413529873
Day 29, today's reward is 1775.2573948437869, average damage is 5.961223876948148e-05, loss 0.0023528083693236113
Day 30, today's reward is 1776.2078954594217, average damage is 4.7391449043774137e-05, loss 0.002262013265863061
Day 31, today's reward is 1761.093645247221, average damage is 5.394088062754543e-05, loss 0.001788318739272654
Day 32, today's reward is 1769.1208642911538, average damage is 5.5217941366473776e-05, loss 0.0007370461244136095
Day 33, today's reward is 1759.0311898178327, average damage is 5.3247676791073203e-05, loss 0.0007489799172617495
Day 34, today's reward is 1775.1128708971032, average damage is 4.643644700888585e-05, loss 0.0004297678533475846
